productid,prodname,hierarchylevel,prodhierarchypath
2712453398,Grade_1,,/2675022527/2712342788/2712390790/2712390832/2712452594/2712452950/
2712526838,ch02,,/2675022527/2712342788/2712390790/2712390832/2712452594/2712452950/2712453398/2712453720/
2712625628,Module 16,,/2325384933/2325387127/3259152390/3259153468/3259157942/2434695435/3261944784/3261947068/2434734347/
2712755138,HiRes,,/2675022527/2712342788/2712390790/2712390832/2712452594/2712452950/2712453398/2712453720/2712747380/
2712791018,ch08,,/2675022527/2712342788/2712390790/2712390832/2712452594/2712452950/2712453398/2712453720/
2712801578,MXENL08ASE1X_U3C08STP_007T,,/2675022527/2712342788/2712390790/2712390832/2712452594/2712452950/2712453398/2712453720/2712791018/2712791342/
2712806858,HiRes,,/2675022527/2712342788/2712390790/2712390832/2712452594/2712452950/2712453398/2712453720/2712791018/
2712838058,MXENL08ASE1X_U3C09STP_001T,,/2675022527/2712342788/2712390790/2712390832/2712452594/2712452950/2712453398/2712453720/2712835332/2712835636/
2713096718,ch15,,/2675022527/2712342788/2712390790/2712390832/2712452594/2712452950/2712453398/2712453720/
2713988438,1_Action Items,,/2713278110/
2713989398,FONTSCOM_Lists to compare for Alin,,/2713278110/2713988544/
2713992038,FAP6_New Features_Testers User Guide_2014,,/2713278110/2713988586/2713989866/
2713992428,Links,,/2712726254/2713990014/
2713992608,Funnel,,/2712726254/2713990226/
2713992848,3rd Draft,,/2713278110/2713988810/2713990496/
2713994498,FontSupport_Tab_art,,/2713278110/2713988544/2713989324/2713990984/2713993326/
2713995848,images,,/2713278110/2713988544/2713989324/2713990984/2713993326/2713994552/
2714463338,Adobe Systems,,/2714414762/2714463130/2714463172/2714463222/2714463278/
2714463818,H,,/2714414762/2714463130/2714463646/
2714463878,P,,/2714414762/2714463130/2714463646/
2714466338,FAP Quickstart Guide_Mac_v1-1,,/2714414762/2714465480/2714465706/
2714467778,Adobe Systems,,/2714414762/2714465360/2714465608/2714466280/2714467068/
2714471318,Unknown,,/2714414762/2714467880/2714469012/2714470100/
2714475158,FF Meta 1 Volume,,/2714414762/2714471744/2714472840/
2714540258,Font Bureau,,/2714414762/2714472206/2714473482/2714476466/
2714541068,Monotype,,/2714414762/2714472206/2714473482/2714477222/
2714541458,Monotype,,/2714414762/2714472206/2714473482/2714477632/
2714542028,Adobe Systems,,/2714414762/2714472206/2714473482/2714478124/
2714542238,International Typeface,,/2714414762/2714472206/2714473482/2714478300/
2714542658,International Typeface,,/2714414762/2714472206/2714473482/2714478608/
2714543648,Unknown,,/2714414762/2714472206/2714473482/2714479468/
2714543858,International Typeface,,/2714414762/2714472206/2714473524/2714479766/
2714543948,Adobe Systems,,/2714414762/2714472206/2714473524/2714479894/
2714544998,Monotype,,/2714414762/2714472206/2714473524/2714480806/
2714545118,International Typeface,,/2714414762/2714472206/2714473524/2714480932/
2714545418,Adobe Systems,,/2714414762/2714472206/2714473524/2714481136/
2714545628,International Typeface,,/2714414762/2714472206/2714473524/2714481282/
2714545688,International Typeface,,/2714414762/2714472206/2714473524/2714481348/
2714547248,Monotype,,/2714414762/2714472206/2714473524/2714482316/
2714547788,International Typeface,,/2714414762/2714472206/2714473524/2714482684/
2714548118,Adobe Systems,,/2714414762/2714472206/2714473524/2714482932/
2714548958,Adobe Systems,,/2714414762/2714472206/2714473524/2714483700/
2714549198,Adobe Systems,,/2714414762/2714472206/2714473524/2714483898/
2714551088,Adobe Systems,,/2714414762/2714472206/2714473582/2714485138/
2714551238,Adobe Systems,,/2714414762/2714472206/2714473582/2714485278/
2714551358,Adobe Systems,,/2714414762/2714472206/2714473582/2714485384/
2714551598,International Typeface,,/2714414762/2714472206/2714473582/2714485638/
2714551718,Adobe Systems,,/2714414762/2714472206/2714473582/2714485750/
2714552138,International Typeface,,/2714414762/2714472206/2714473582/2714486078/
2714552498,Monotype,,/2714414762/2714472206/2714473582/2714486380/
2714553218,URW,,/2714414762/2714472206/2714473582/2714486824/
2714553278,URW,,/2714414762/2714472206/2714473582/2714486852/
2714553818,Adobe Systems,,/2714414762/2714472206/2714473582/2714487146/
2714556068,Adobe Systems,,/2714414762/2714472206/2714473582/2714488898/
2714556368,International Typeface,,/2714414762/2714472206/2714473646/2714489218/
2714556668,Adobe Systems,,/2714414762/2714472206/2714473646/2714489436/
2714556998,International Typeface,,/2714414762/2714472206/2714473646/2714489710/
2714557418,International Typeface,,/2714414762/2714472206/2714473646/2714490150/
2714557538,International Typeface,,/2714414762/2714472206/2714473646/2714490242/
2714557658,International Typeface,,/2714414762/2714472206/2714473646/2714490332/
2714557988,International Typeface,,/2714414762/2714472206/2714473646/2714490712/
2714558108,International Typeface,,/2714414762/2714472206/2714473646/2714490852/
2714558138,International Typeface,,/2714414762/2714472206/2714473646/2714490916/
2714558198,International Typeface,,/2714414762/2714472206/2714473646/2714490986/
2714558228,International Typeface,,/2714414762/2714472206/2714473646/2714491022/
2714558618,International Typeface,,/2714414762/2714472206/2714473646/2714491444/
2714558858,Monotype,,/2714414762/2714472206/2714473646/2714491692/
2714560178,International Typeface,,/2714414762/2714472206/2714473752/2714493328/
2714560418,International Typeface,,/2714414762/2714472206/2714473752/2714493540/
2714560928,House Industries,,/2714414762/2714472206/2714473752/2714494066/
2714561708,Monotype,,/2714414762/2714472206/2714473752/2714494956/
2714561828,International Typeface,,/2714414762/2714472206/2714473752/2714495038/
2714562068,Berthold,,/2714414762/2714472206/2714473752/2714495238/
2714562218,International Typeface,,/2714414762/2714472206/2714473752/2714495398/
2714562308,International Typeface,,/2714414762/2714472206/2714473752/2714495478/
2714562368,Adobe Systems,,/2714414762/2714472206/2714473752/2714495536/
2714562548,Monotype,,/2714414762/2714472206/2714473752/2714495630/
2714564258,Monotype,,/2714414762/2714472206/2714473808/2714497080/
2714564498,International Typeface,,/2714414762/2714472206/2714473808/2714497322/
2714564708,International Typeface,,/2714414762/2714472206/2714473808/2714497568/
2714565428,International Typeface,,/2714414762/2714472206/2714473808/2714498318/
2714566628,International Typeface,,/2714414762/2714472206/2714473870/2714499406/
2714566868,International Typeface,,/2714414762/2714472206/2714473870/2714499538/
2714566958,Adobe Systems,,/2714414762/2714472206/2714473870/2714499610/
2714568278,Image Club Graphics,,/2714414762/2714472206/2714473870/2714500566/
2714569388,Monotype,,/2714414762/2714472206/2714473916/2714501328/
2714571878,International Typeface,,/2714414762/2714472206/2714473966/2714503410/
2714573348,Monotype,,/2714414762/2714472206/2714474020/2714506444/
2714573528,Monotype,,/2714414762/2714472206/2714474020/2714506854/
2714573678,Adobe Systems,,/2714414762/2714472206/2714474020/2714507010/
2714574098,International Typeface,,/2714414762/2714472206/2714474020/2714508224/
2714576408,Adobe Systems,,/2714414762/2714472206/2714474062/2714510916/
2714576468,International Typeface,,/2714414762/2714472206/2714474062/2714511018/
2714576888,International Typeface,,/2714414762/2714472206/2714474116/2714511462/
2714576978,Monotype,,/2714414762/2714472206/2714474116/2714511554/
2714577068,International Typeface,,/2714414762/2714472206/2714474116/2714511646/
2714578838,International Typeface,,/2714414762/2714472206/2714474116/2714513878/
2714578928,Monotype,,/2714414762/2714472206/2714474116/2714514002/
2714578988,Adobe Systems,,/2714414762/2714472206/2714474116/2714514116/
2714579138,International Typeface,,/2714414762/2714472206/2714474116/2714514400/
2714579168,International Typeface,,/2714414762/2714472206/2714474116/2714514472/
2714580068,International Typeface,,/2714414762/2714472206/2714474116/2714515826/
2714580398,Adobe Systems,,/2714414762/2714472206/2714474116/2714516210/
2714580428,Adobe Systems,,/2714414762/2714472206/2714474188/2714516260/
2714580548,Adobe Systems,,/2714414762/2714472206/2714474188/2714516410/
2714580608,International Typeface,,/2714414762/2714472206/2714474188/2714516504/
2714584268,Adobe Systems,,/2714414762/2714472206/2714474294/2714521364/
