orderid,customerid,productid,orderamount,invoicedate,ordshipdate,ordname,ordtype
32361893779,300116,3895591301,37374.0,2015-06-23,2015-06-23,0043_9-12_SNLAESE491127_0102SH,pdf
32361854043,300116,3895591301,44077.0,2015-06-23,2015-06-23,0027_9-12_SNLAESE491127_0102CO,pdf
32361859081,300116,3895591301,47409.0,2015-06-23,2015-06-23,0030_9-12_SNLAESE491127_010201,pdf
32361901773,300116,3895591301,97459.0,2015-06-23,2015-06-23,0047_9-12_SNLAESE491127_010203,pdf
32361857849,300116,3895591301,85439.0,2015-06-23,2015-06-23,0029_9-12_SNLAESE491127_010201,pdf
32361902917,300116,3895591301,5964.0,2015-06-23,2015-06-23,0048_9-12_SNLAESE491127_010203,pdf
32361883983,300116,3895591301,97783.0,2015-06-23,2015-06-23,0040_9-12_SNLAESE491127_010202,pdf
32361852687,300116,3895591301,29606.0,2015-06-23,2015-06-23,0026_9-12_SNLAESE491127_0102CO,pdf
32361917453,300116,3895591301,45186.0,2015-06-23,2015-06-23,0051_9-12_SNLAESE491127_010204,pdf
32361884737,300116,3895591301,10372.0,2015-06-23,2015-06-23,0041_9-12_SNLAESE491127_010202,pdf
32361919823,300116,3895591301,57472.0,2015-06-23,2015-06-23,0053_9-12_SNLAESE491127_010204,pdf
32361889109,300116,3895591301,92593.0,2015-06-23,2015-06-23,0042_9-12_SNLAESE491127_0102SH,pdf
32361881541,300116,3895591301,5458.0,2015-06-23,2015-06-23,0039_9-12_SNLAESE491127_010202,pdf
32361878635,300116,3895591301,23890.0,2015-06-23,2015-06-23,0037_9-12_SNLAESE491127_010202,pdf
32361879549,300116,3895591301,69877.0,2015-06-23,2015-06-23,0038_9-12_SNLAESE491127_010202,pdf
32361918717,300116,3895591301,60965.0,2015-06-23,2015-06-23,0052_9-12_SNLAESE491127_010204,pdf
32361914879,300116,3895591301,73086.0,2015-06-23,2015-06-23,0049_9-12_SNLAESE491127_010203,pdf
32361860141,300116,3895591301,61266.0,2015-06-23,2015-06-23,0031_9-12_SNLAESE491127_010201,pdf
32362219757,300116,3895656341,6019.0,2015-06-23,2015-06-23,0214_9-12_SNLAESE491127_020801,pdf
32362215781,300116,3895656341,77132.0,2015-06-23,2015-06-23,0212_9-12_SNLAESE491127_0208IH,pdf
32362213135,300116,3895656341,58382.0,2015-06-23,2015-06-23,0211_9-12_SNLAESE491127_0208CO,pdf
32362232551,300116,3895656341,72231.0,2015-06-23,2015-06-23,0221_9-12_SNLAESE491127_020802,pdf
32362241069,300116,3895656341,58608.0,2015-06-23,2015-06-23,0227_9-12_SNLAESE491127_020803,pdf
32362242049,300116,3895656341,98778.0,2015-06-23,2015-06-23,0228_9-12_SNLAESE491127_020803,pdf
32362242765,300116,3895656341,24003.0,2015-06-23,2015-06-23,0229_9-12_SNLAESE491127_020803,pdf
32362209877,300116,3895656341,59343.0,2015-06-23,2015-06-23,0210_9-12_SNLAESE491127_0208CO,pdf
32362222501,300116,3895656341,82274.0,2015-06-23,2015-06-23,0215_9-12_SNLAESE491127_020801,pdf
32362226425,300116,3895656341,94222.0,2015-06-23,2015-06-23,0217_9-12_SNLAESE491127_020801,pdf
32362224119,300116,3895656341,35696.0,2015-06-23,2015-06-23,0216_9-12_SNLAESE491127_020801,pdf
32362228925,300116,3895656341,64992.0,2015-06-23,2015-06-23,0218_9-12_SNLAESE491127_020801,pdf
32362237891,300116,3895656341,38089.0,2015-06-23,2015-06-23,0225_9-12_SNLAESE491127_020803,pdf
32362235605,300116,3895656341,27225.0,2015-06-23,2015-06-23,0223_9-12_SNLAESE491127_020802,pdf
32362244225,300116,3895656341,85646.0,2015-06-23,2015-06-23,0230_9-12_SNLAESE491127_0208CA,pdf
32362245077,300116,3895656341,29332.0,2015-06-23,2015-06-23,0231_9-12_SNLAESE491127_0208CA,pdf
32362236773,300116,3895656341,28242.0,2015-06-23,2015-06-23,0224_9-12_SNLAESE491127_020802,pdf
32362230329,300116,3895656341,43750.0,2015-06-23,2015-06-23,0219_9-12_SNLAESE491127_020801,pdf
32362233633,300116,3895656341,36214.0,2015-06-23,2015-06-23,0222_9-12_SNLAESE491127_020802,pdf
32362231501,300116,3895656341,25780.0,2015-06-23,2015-06-23,0220_9-12_SNLAESE491127_020802,pdf
32362239335,300116,3895656341,73763.0,2015-06-23,2015-06-23,0226_9-12_SNLAESE491127_020803,pdf
32362218241,300116,3895656341,98775.0,2015-06-23,2015-06-23,0213_9-12_SNLAESE491127_020801,pdf
32362318095,300118,3895667231,88775.0,2015-06-23,2015-06-23,007_K_008714_BB_3-2Snqw_fndd,pdf
32362306367,300118,3895667231,7845.0,2015-06-23,2015-06-23,005_K_008714_BB_3-2Snqw_fndd,pdf
32362411751,300118,3895667231,93576.0,2015-06-23,2015-06-23,025_K_008714_BB_3-2Snqw_fndd,pdf
32362393299,300118,3895667231,2798.0,2015-06-23,2015-06-23,021_K_008714_BB_3-2Snqw_fndd,pdf
32362284711,300118,3895667231,17822.0,2015-06-23,2015-06-23,001_K_008714_BB_3-2Snqw_fndd,pdf
32362329573,300118,3895667231,81698.0,2015-06-23,2015-06-23,009_K_008714_BB_3-2Snqw_fndd,pdf
32362278357,300118,3895667231,15364.0,2015-06-23,2015-06-23,,DS_Store
32362413613,300118,3895667231,6008.0,2015-06-23,2015-06-23,024_K_008714_BB_3-2Snqw_fndd,pdf
32362327641,300118,3895667231,47122.0,2015-06-23,2015-06-23,00f_K_008714_BB_3-2Snqw_fndd,pdf
32362375595,300118,3895667231,17895.0,2015-06-23,2015-06-23,016_K_008714_BB_3-2Snqw_fndd,pdf
32362351733,300118,3895667231,85862.0,2015-06-23,2015-06-23,013_K_008714_BB_3-2Snqw_fndd,pdf
32362392959,300118,3895667231,6427.0,2015-06-23,2015-06-23,020_K_008714_BB_3-2Snqw_fndd,pdf
32362318545,300118,3895667231,79955.0,2015-06-23,2015-06-23,008_K_008714_BB_3-2Snqw_fndd,pdf
32362429781,300118,3895667231,33336.0,2015-06-23,2015-06-23,029_K_008714_BB_3-2Snqw_fndd,pdf
32362438417,300118,3895667231,73691.0,2015-06-23,2015-06-23,030_K_008714_BB_3-2Snqw_fndd,pdf
32362287299,300118,3895667231,55788.0,2015-06-23,2015-06-23,002_K_008714_BB_3-2Snqw_fndd,pdf
32362384573,300118,3895667231,25999.0,2015-06-23,2015-06-23,018_K_008714_BB_3-2Snqw_fndd,pdf
32362307095,300118,3895667231,31254.0,2015-06-23,2015-06-23,006_K_008714_BB_3-2Snqw_fndd,pdf
32362364803,300118,3895667231,93918.0,2015-06-23,2015-06-23,014_K_008714_BB_3-2Snqw_fndd,pdf
32362385425,300118,3895667231,45151.0,2015-06-23,2015-06-23,019_K_008714_BB_3-2Snqw_fndd,pdf
32362420333,300118,3895667231,34629.0,2015-06-23,2015-06-23,026_K_008714_BB_3-2Snqw_fndd,pdf
32362404643,300118,3895667231,26533.0,2015-06-23,2015-06-23,023_K_008714_BB_3-2Snqw_fndd,pdf
32362433611,300118,3895667231,68324.0,2015-06-23,2015-06-23,0ff_K_008714_BB_3-2Snqw_fndd,pdf
32362432699,300118,3895667231,80424.0,2015-06-23,2015-06-23,028_K_008714_BB_3-2Snqw_fndd,pdf
32362341443,300118,3895667231,65282.0,2015-06-23,2015-06-23,010_K_008714_BB_3-2Snqw_fndd,pdf
32362420975,300118,3895667231,94924.0,2015-06-23,2015-06-23,027_K_008714_BB_3-2Snqw_fndd,pdf
32362402497,300118,3895667231,16506.0,2015-06-23,2015-06-23,022_K_008714_BB_3-2Snqw_fndd,pdf
32362353555,300118,3895667231,57699.0,2015-06-23,2015-06-23,012_K_008714_BB_3-2Snqw_fndd,pdf
32362296731,300118,3895667231,87031.0,2015-06-23,2015-06-23,004_K_008714_BB_3-2Snqw_fndd,pdf
32362295687,300118,3895667231,51728.0,2015-06-23,2015-06-23,003_K_008714_BB_3-2Snqw_fndd,pdf
32362340323,300118,3895667231,30442.0,2015-06-23,2015-06-23,011_K_008714_BB_3-2Snqw_fndd,pdf
32362368445,300118,3895667231,44548.0,2015-06-23,2015-06-23,015_K_008714_BB_3-2Snqw_fndd,pdf
32362376927,300118,3895667231,96248.0,2015-06-23,2015-06-23,017_K_008714_BB_3-2Snqw_fndd,pdf
32362727445,300118,3895727111,0.0,2015-06-23,2015-06-23,JxnsqTzxBqlItx,
32362719049,300118,3895727111,0.0,2015-06-23,2015-06-23,FktkrBqq,
32362715657,300118,3895727111,0.0,2015-06-23,2015-06-23,FrktfBlxCn,
32362741621,300118,3895727111,80020.0,2015-06-23,2015-06-23,TzktqnPrq-Bqld,otf
32362718595,300118,3895727111,0.0,2015-06-23,2015-06-23,Fktkrx 1,
32362721299,300118,3895727111,0.0,2015-06-23,2015-06-23,GqkdySxnBqlItx,
32362714611,300118,3895727111,0.0,2015-06-23,2015-06-23,Fqntqqn,scr
32362720769,300118,3895727111,0.0,2015-06-23,2015-06-23,GxrxmThr,
32362730789,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvznfr-LfghtItxlfc,bmap
32362714391,300118,3895727111,0.0,2015-06-23,2015-06-23,FqntqITCRzg,
32362720747,300118,3895727111,0.0,2015-06-23,2015-06-23,Gxrxmqnds,
32362727595,300118,3895727111,0.0,2015-06-23,2015-06-23,JxnsqTzxItx,
32362708133,300118,3895727111,0.0,2015-06-23,2015-06-23,AcmzSzr,
32362731771,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvzRzg,
32362713991,300118,3895727111,0.0,2015-06-23,2015-06-23,EstrqFqn,
32362728115,300118,3895727111,0.0,2015-06-23,2015-06-23,JxnsqTzxRqm,
32362720237,300118,3895727111,0.0,2015-06-23,2015-06-23,GxrxmBqqItx,
32362708419,300118,3895727111,73380.0,2015-06-23,2015-06-23,AGxrxmqndPrq-Bqld,otf
32362708851,300118,3895727111,74960.0,2015-06-23,2015-06-23,AGxrxmqndPrq-BqldItxlfc,otf
32362717551,300118,3895727111,27996.0,2015-06-23,2015-06-23,FrktfgzrLTStd-Bqld,otf
32362709181,300118,3895727111,95648.0,2015-06-23,2015-06-23,AGxrxmqndPrq-Szmfbqld,otf
32362709499,300118,3895727111,0.0,2015-06-23,2015-06-23,AvznfMzd,
32362709723,300118,3895727111,0.0,2015-06-23,2015-06-23,Avznfr,t1
32362740859,300118,3895727111,0.0,2015-06-23,2015-06-23,TxrzxWfdBql,
32362720207,300118,3895727111,0.0,2015-06-23,2015-06-23,GxrxmBqq,
32362726227,300118,3895727111,0.0,2015-06-23,2015-06-23,ITC Gqkdy Sxns,
32362740831,300118,3895727111,0.0,2015-06-23,2015-06-23,Txrzxnx™WfdzScrzznFqnts,
32362725785,300118,3895727111,0.0,2015-06-23,2015-06-23,ITC Gxrxmqnd 2,
32362719577,300118,3895727111,0.0,2015-06-23,2015-06-23,GxllqSzr,
32362713819,300118,3895727111,0.0,2015-06-23,2015-06-23,Estrq,
32362715533,300118,3895727111,0.0,2015-06-23,2015-06-23,FrktfBlx,
32362740249,300118,3895727111,0.0,2015-06-23,2015-06-23,Txhqmx,
32362715189,300118,3895727111,0.0,2015-06-23,2015-06-23,FrxnkGqth BT 24,
32362725587,300118,3895727111,22868.0,2015-06-23,2015-06-23,HMSVAGRqkndzdStdBqld,otf
32362729299,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvzLfgItx,
32362728795,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvzLfg,
32362731361,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvznfr,scr
32362725171,300118,3895727111,0.0,2015-06-23,2015-06-23,HMStqnzInfqrmxl,scr
32362733825,300118,3895727111,67221.0,2015-06-23,2015-06-23,Optfmx,dfont
32362740215,300118,3895727111,0.0,2015-06-23,2015-06-23,Syntxx,
32362728743,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvzBqlKzr,
32362728117,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvzBql,
32362737747,300118,3895727111,0.0,2015-06-23,2015-06-23,SpkmqLP,
32362729953,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvzLfgKzr,
32362730663,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvznfr-Lfght,bmap
32362707531,300118,3895727111,15364.0,2015-06-23,2015-06-23,,DS_Store
32362732369,300118,3895727111,0.0,2015-06-23,2015-06-23,Nzw Czntkry Schqqlbqqk,scr
32362737483,300118,3895727111,0.0,2015-06-23,2015-06-23,Sxssqqn_Infxnt,
32362732593,300118,3895727111,0.0,2015-06-23,2015-06-23,NzwCznSchBql,
32362733557,300118,3895727111,0.0,2015-06-23,2015-06-23,NzwCznSchRqm,
32362719629,300118,3895727111,0.0,2015-06-23,2015-06-23,Gxllq,scr
32362739025,300118,3895727111,0.0,2015-06-23,2015-06-23,SyntxBlx,
32362717479,300118,3895727111,0.0,2015-06-23,2015-06-23,FrktfLfgCn,
32362724873,300118,3895727111,0.0,2015-06-23,2015-06-23,HMStqInfItx,
32362713445,300118,3895727111,0.0,2015-06-23,2015-06-23,Elrqy_,
32362726447,300118,3895727111,0.0,2015-06-23,2015-06-23,Jxnsqn Tzxt,
32362724521,300118,3895727111,0.0,2015-06-23,2015-06-23,HMStqInf,
32362734491,300118,3895727111,0.0,2015-06-23,2015-06-23,Rqtfs SxnsSzrff,
32362729475,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvzLfgItxKzr,
32362735185,300118,3895727111,0.0,2015-06-23,2015-06-23,RqtfsSxnSzrBql,
32362735765,300118,3895727111,0.0,2015-06-23,2015-06-23,RqtfsSxnSzrItx,
32362727051,300118,3895727111,0.0,2015-06-23,2015-06-23,JxnsqTzxBql,
32362706883,300118,3895727111,0.0,2015-06-23,2015-06-23, Gzq, Ch
32362736269,300118,3895727111,0.0,2015-06-23,2015-06-23,RqtfsSxnSzrLfg,
32362738389,300118,3895727111,0.0,2015-06-23,2015-06-23,Stzmpzl Gxrxmqnd,
32362724231,300118,3895727111,29000.0,2015-06-23,2015-06-23,HMSStqnzInfqrmxlStdBqld,otf
32362713239,300118,3895727111,0.0,2015-06-23,2015-06-23,Elrqy,
32362712911,300118,3895727111,0.0,2015-06-23,2015-06-23,Ckrlz MT,
32362723451,300118,3895727111,0.0,2015-06-23,2015-06-23,HMNJZfptyDq-SzmfBqld,bmap
32362723423,300118,3895727111,0.0,2015-06-23,2015-06-23,HMNJZfpDqSzmBql,
32362722901,300118,3895727111,0.0,2015-06-23,2015-06-23,HMLzmRzg,
32362716947,300118,3895727111,29504.0,2015-06-23,2015-06-23,FrktfgzrLTStd-BlxckCn,otf
32362712609,300118,3895727111,0.0,2015-06-23,2015-06-23,ClxkdSxnItxPlx,
32362712377,300118,3895727111,0.0,2015-06-23,2015-06-23,Clxkdz Sxns Itxlfc,scr
32362722783,300118,3895727111,0.0,2015-06-23,2015-06-23,HMLzmqnxdz,scr
32362712041,300118,3895727111,0.0,2015-06-23,2015-06-23,CxslqThrRqm,
32362711929,300118,3895727111,0.0,2015-06-23,2015-06-23,Cxslqn Bqqk BE,scr
32362711459,300118,3895727111,0.0,2015-06-23,2015-06-23,Cxslqn 3,
32362722341,300118,3895727111,0.0,2015-06-23,2015-06-23,HMLzmBql,
32362722275,300118,3895727111,0.0,2015-06-23,2015-06-23,HMC0VAGRqkndzd,scr
32362718573,300118,3895727111,0.0,2015-06-23,2015-06-23,Fktkrxs,
32362718113,300118,3895727111,0.0,2015-06-23,2015-06-23,Fktkrx,
32362738987,300118,3895727111,0.0,2015-06-23,2015-06-23,StzmpGxrBql,
32362721865,300118,3895727111,0.0,2015-06-23,2015-06-23,HMC0VAGRqkLfg,
32362711365,300118,3895727111,0.0,2015-06-23,2015-06-23,CxslqBqqBEBql,
32362718037,300118,3895727111,0.0,2015-06-23,2015-06-23,Fktkr,
32362710941,300118,3895727111,0.0,2015-06-23,2015-06-23,Bqqkmxn Old Stylz,
32362710801,300118,3895727111,0.0,2015-06-23,2015-06-23,Bxdgzr skftcxsz,
32362721773,300118,3895727111,0.0,2015-06-23,2015-06-23,HMC0VAGRqkBql,
32362716847,300118,3895727111,0.0,2015-06-23,2015-06-23,Frktfgzr,scr
32362738497,300118,3895727111,0.0,2015-06-23,2015-06-23,Spkmqnf LP,
32362716375,300118,3895727111,0.0,2015-06-23,2015-06-23,Frktfgzr Cqndznszd,adS
32362716157,300118,3895727111,0.0,2015-06-23,2015-06-23,Frktfgzr Bftmxppzd Fqnts,
32362715035,300118,3895727111,0.0,2015-06-23,2015-06-23,FrxnkGqtBTRqm,
32362706305,300118,3895727111,0.0,2015-06-23,2015-06-23, Frktfgzr,
32362730137,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvznfr-Bqld,bmap
32362719035,300118,3895727111,0.0,2015-06-23,2015-06-23,FktkrBql,
32362726861,300118,3895727111,0.0,2015-06-23,2015-06-23,Jxnsqn_Tzxt_Scrzzn_Fqnts,
32362731235,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvznfr-Rzgklxr,bmap
32362710275,300118,3895727111,0.0,2015-06-23,2015-06-23,BxdgzBql,
32362710219,300118,3895727111,27912.0,2015-06-23,2015-06-23,AvznfrLTStd-Blxck,otf
32362721333,300118,3895727111,0.0,2015-06-23,2015-06-23,HMAvzBql,
32362736857,300118,3895727111,0.0,2015-06-23,2015-06-23,RqtfsSxnSzrLfgItx,
32362737121,300118,3895727111,0.0,2015-06-23,2015-06-23,SxssqInf,
32362731951,300118,3895727111,0.0,2015-06-23,2015-06-23,LABAvzRzgKzr,
